,0,1
2179,Major Characters,Nelson Muntz
2180,Major Characters,Joe Quimby
2181,Major Characters,Ralph Wiggum
2182,Major Characters,Nick Riviera
2183,Major Characters,Santa's Little Helper
2184,Major Characters,Scratchy
2185,Major Characters,Simpson family
2186,Major Characters,Abe Simpson II
2187,Major Characters,Seymour Skinner
2188,Major Characters,"Waylon Smithers, Jr."
2189,Major Characters,Snowball II
2190,Major Characters,Snowball V
2191,Major Characters,Cletus Spuckler
2192,Major Characters,Dolph Starbeam
2193,Major Characters,Moe Szyslak
2194,Major Characters,Robert Terwilliger
2195,Major Characters,Milhouse Van Houten
2196,Major Characters,Clancy Wiggum
2197,Major Characters,Kearney Zzyzwicz
2198,Male characters,"""Blow the Horn"" Kid"
2199,Male characters,"""Certainly"" Kid"
2200,Male characters,"""Dummies"" Author"
2201,Male characters,"""Freakin' Guns"" Guy"
2202,Male characters,"""Homie"""
2203,Male characters,"""Nay"" Guy"
2204,Male characters,"""Something New"" Spuckler Baby"
2205,Male characters,"""Stone Cold"" Steve Austin"
2206,Male characters,"""Suing"" Simpson Relative"
2207,Male characters,"""Where the Redfern Grows"" 5th grader"
2208,Male characters,''People Who Look Like Things'' host
2209,Male characters,'N Sync (character)
2210,Male characters,10 Year Old Voiced Man
2211,Male characters,3 Little Pigs
2212,Male characters,4-H leader
2214,Male characters,50 Cent
2215,Male characters,50 Cent (character)
2216,Male characters,98th Airborne veteran
2217,Male characters,A Dog Named Homer
2218,Male characters,A27
2219,Male characters,A63
2220,Male characters,Aaron Aaronson
2221,Male characters,Aaron Burr
2222,Male characters,User:AaronFraley1804
2223,Male characters,Abominable Snow Burns
2224,Male characters,Abraham Lincoln
2225,Male characters,Abraham Simpson I
2226,Male characters,"Abraham Simpson, Sr."
2227,Male characters,Abraham The Thief
2228,Male characters,Abus
2229,Male characters,Accordion Player
2230,Male characters,Acne Man 1
2231,Male characters,Acne Man 2
2232,Male characters,Actor 1
2233,Male characters,Actor 2
2234,Male characters,Adam
2235,Male characters,Adam Savage (character)
2236,Male characters,Adam Simpson
2237,Male characters,Adam West
2238,Male characters,Adam West (character)
2239,Male characters,Addem-up Spuckler
2240,Male characters,Adil Hoxha
2241,Male characters,Adlai Stevenson
2242,Male characters,Admiral Carstairs
2243,Male characters,Admissions Agent 2
2244,Male characters,Adolf Hitler (Bart vs. Australia)
2245,Male characters,Adrian Belew
2246,Male characters,Adult Education Annex owner
2247,Male characters,Aerosmith
2248,Male characters,African Elephant Guy
2249,Male characters,African-American Teacher
2250,Male characters,Age and Weight Booth Man
2251,Male characters,Agent Johnson
2252,Male characters,Agent Malone
2253,Male characters,Agent Miller
2254,Male characters,Agent Wessom
2255,Male characters,Ahura Mazda
2256,Male characters,Aiden Freemont
2257,Male characters,Air Force Guard
2258,Male characters,Air Safety Inspector 1
2259,Male characters,Airshot
2260,Male characters,Airshow Tour Guide
2261,Male characters,Ak
2262,Male characters,Akira
2263,Male characters,Al Gore
2264,Male characters,Al Gore's Secretary
2265,Male characters,Al Harrington
2266,Male characters,Aladdin
2267,Male characters,Alan Moore (character)
2268,Male characters,Albert
2269,Male characters,Albert Einstein
2270,Male characters,Alberto
2271,Male characters,Alcatraaz
2272,Male characters,Alex (I'm Spelling as Fast as I Can)
2273,Male characters,Alex Salmond
